Fiscal_Year_Released,Recidivism_Reporting_Year,Age_At_Release,Days_To_Return,Release_Type,Race_Ethnicity,Sex,Offense_Classification,Offense_Type,Offense_Subtype,Return_To_Prison,Recidivism_Type,New_Offense_Classification,New_Offense_Type,New_Offense_Subtype
2010,2013,2,342,4,10,2,6,3,9,2,3,0,0,0
2010,2013,2,262,4,10,2,7,3,23,2,1,8,2,12
2010,2013,1,0,4,10,2,5,3,5,1,2,0,0,0
2010,2013,2,392,2,2,2,5,1,25,2,1,6,1,25
2010,2013,3,470,4,10,2,5,1,25,2,1,5,1,25
2010,2013,1,0,2,9,2,3,3,6,1,2,0,0,0
2010,2013,1,218,4,10,2,5,3,6,2,3,0,0,0
2010,2013,3,0,4,7,2,6,3,6,1,2,0,0,0
2010,2013,3,0,4,7,2,6,3,6,1,2,0,0,0
2010,2013,5,202,4,9,1,6,4,16,2,3,0,0,0
2010,2013,1,0,4,9,2,5,3,6,1,2,0,0,0
2010,2013,2,0,2,9,2,6,3,6,1,2,0,0,0
2010,2013,2,0,2,9,2,6,3,6,1,2,0,0,0
2010,2013,3,0,2,10,2,5,5,1,1,2,0,0,0
2010,2013,3,0,2,10,2,5,5,1,1,2,0,0,0
2010,2013,3,0,2,10,2,5,5,1,1,2,0,0,0
2010,2013,2,252,4,9,2,6,1,25,2,3,0,0,0
2010,2013,3,0,4,7,2,6,3,23,1,2,0,0,0
2010,2013,3,0,2,10,2,3,3,6,1,2,0,0,0
2010,2013,3,0,2,10,2,3,3,6,1,2,0,0,0
2010,2013,4,0,4,10,2,4,5,19,1,2,0,0,0
2010,2013,3,178,4,10,2,6,1,7,2,3,0,0,0
2010,2013,1,159,4,10,1,6,1,13,2,3,0,0,0
2010,2013,2,0,4,10,2,3,4,24,1,2,0,0,0
2010,2013,2,0,4,10,2,5,3,23,1,2,0,0,0
2010,2013,2,457,4,7,2,5,1,25,2,1,3,3,9
2010,2013,1,0,4,10,2,6,4,16,1,2,0,0,0
2010,2013,2,0,4,10,2,7,1,25,1,2,0,0,0
2010,2013,2,0,4,10,2,7,1,25,1,2,0,0,0
2010,2013,2,0,4,10,2,7,1,25,1,2,0,0,0
2010,2013,3,0,2,7,2,6,3,26,1,2,0,0,0
2010,2013,3,0,2,7,2,6,3,26,1,2,0,0,0
2010,2013,4,103,2,7,2,3,5,1,2,1,6,3,6
2010,2013,5,0,4,10,2,6,1,25,1,2,0,0,0
2010,2013,1,86,12,10,2,3,5,19,2,3,0,0,0
2010,2013,2,0,4,10,2,5,5,11,1,2,0,0,0
2010,2013,2,26,4,7,2,6,1,25,2,3,0,0,0
2010,2013,2,0,4,7,2,5,5,1,1,2,0,0,0
2010,2013,2,0,2,10,2,3,5,1,1,2,0,0,0
2010,2013,2,0,2,10,2,3,5,1,1,2,0,0,0
2010,2013,2,0,2,10,2,3,5,1,1,2,0,0,0
2010,2013,2,0,2,10,2,3,5,1,1,2,0,0,0
2010,2013,2,0,2,10,2,3,5,1,1,2,0,0,0
2010,2013,2,0,2,10,2,3,5,1,1,2,0,0,0
2010,2013,2,0,2,10,2,3,5,1,1,2,0,0,0
2010,2013,2,0,2,10,2,3,5,1,1,2,0,0,0
2010,2013,2,0,2,10,2,3,5,1,1,2,0,0,0
2010,2013,2,0,2,10,2,3,5,1,1,2,0,0,0
2010,2013,2,0,2,10,2,3,5,1,1,2,0,0,0
2010,2013,2,0,2,10,2,3,5,1,1,2,0,0,0
2010,2013,2,0,2,10,2,3,5,1,1,2,0,0,0
2010,2013,2,0,2,10,2,3,5,1,1,2,0,0,0
2010,2013,2,0,2,10,2,3,5,1,1,2,0,0,0
2010,2013,2,0,2,10,2,3,5,1,1,2,0,0,0
2010,2013,2,0,2,10,2,3,5,1,1,2,0,0,0
2010,2013,2,0,2,10,2,3,5,1,1,2,0,0,0
2010,2013,2,0,2,10,2,3,5,1,1,2,0,0,0
2010,2013,2,66,4,10,1,6,3,9,2,3,0,0,0
2010,2013,4,0,4,10,1,5,3,23,1,2,0,0,0
2010,2013,2,383,4,10,2,6,1,25,2,1,5,1,25
2010,2013,4,385,4,10,1,7,4,8,2,1,6,3,23
2010,2013,2,0,4,10,2,3,4,3,1,2,0,0,0
2010,2013,4,0,4,10,2,6,5,1,1,2,0,0,0
2010,2013,3,240,4,7,2,6,4,8,2,1,3,4,24
2010,2013,4,456,4,10,2,5,1,25,2,3,0,0,0
2010,2013,3,385,4,10,2,5,3,23,2,3,0,0,0
2010,2013,2,173,4,7,2,5,1,25,2,1,8,2,12
2010,2013,2,160,4,10,2,4,1,25,2,3,0,0,0
2010,2013,2,912,4,7,2,5,1,25,2,1,5,1,25
2010,2013,2,174,4,7,2,6,4,16,2,3,0,0,0
2010,2013,2,842,4,10,2,5,1,25,2,3,0,0,0
2010,2013,4,0,4,10,2,5,3,5,1,2,0,0,0
2010,2013,2,0,4,10,2,7,5,11,1,2,0,0,0
2010,2013,2,1027,4,10,2,6,1,25,2,1,13,4,16
2010,2013,3,0,2,8,2,3,5,1,1,2,0,0,0
2010,2013,2,0,4,10,2,5,3,23,1,2,0,0,0
2010,2013,2,0,4,10,2,5,3,23,1,2,0,0,0
2010,2013,2,228,2,10,2,3,1,7,2,3,0,0,0
2010,2013,3,1087,4,10,2,3,3,23,2,1,6,1,7
2010,2013,2,133,4,7,2,6,1,7,2,1,6,1,25
2010,2013,1,0,4,10,2,6,4,24,1,2,0,0,0
2010,2013,1,175,4,10,2,6,3,6,2,3,0,0,0
2010,2013,3,708,4,10,2,5,1,25,2,1,8,1,25
2010,2013,3,0,4,10,2,5,1,13,1,2,0,0,0
2010,2013,2,497,2,10,2,6,5,1,2,1,3,3,6
2010,2013,4,0,4,10,2,3,1,7,1,2,0,0,0
2010,2013,2,1009,2,10,2,7,3,6,2,3,0,0,0
2010,2013,3,0,4,7,2,6,1,13,1,2,0,0,0
2010,2013,3,405,4,10,2,4,1,25,2,1,4,1,25
2010,2013,2,0,4,7,2,6,4,20,1,2,0,0,0
2010,2013,1,376,2,10,2,3,5,1,2,1,6,3,6
2010,2013,1,655,2,10,2,6,1,25,2,1,3,1,7
2010,2013,2,0,4,10,2,5,3,23,1,2,0,0,0
2010,2013,2,0,4,10,2,5,3,23,1,2,0,0,0
2010,2013,2,692,4,7,2,5,1,25,2,1,8,1,25
2010,2013,1,143,4,10,2,3,3,23,2,3,0,0,0
2010,2013,2,0,4,7,2,6,1,25,1,2,0,0,0
2010,2013,4,0,2,10,1,3,4,16,1,2,0,0,0
2010,2013,1,362,4,10,2,5,3,23,2,3,0,0,0
2010,2013,1,492,4,10,2,3,3,23,2,1,5,5,11
2010,2013,1,350,4,10,2,6,5,1,2,1,3,3,6
2010,2013,4,0,4,7,2,6,4,20,1,2,0,0,0
2010,2013,2,0,4,10,2,7,5,19,1,2,0,0,0
