Fiscal _Year_Released,Recidivism_Reporting_Year,Age_At_Release,Days_To_Return,Release_Type,Race_Ethnicity,Sex,Offense_Classification,Offense_Type,Offense_Subtype,New_Offense_Classification,New_Offense_Type,New_Offense_Subtype,Return_To_Prison,Recidivism_Type
2010.0,2013.0,3.0,0.0,4.0,11.0,2.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,5.0,0.0,4.0,10.0,2.0,3.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,1.0,494.0,4.0,11.0,2.0,4.0,0.0,12.0,12.0,7.0,11.0,1.0,0.0
2010.0,2013.0,2.0,0.0,4.0,11.0,2.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,4.0,10.0,2.0,4.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,4.0,46.0,4.0,11.0,2.0,3.0,4.0,16.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,2.0,541.0,4.0,7.0,2.0,3.0,0.0,23.0,7.0,2.0,23.0,1.0,0.0
2010.0,2013.0,3.0,324.0,2.0,7.0,2.0,1.0,4.0,3.0,5.0,7.0,11.0,1.0,0.0
2010.0,2013.0,1.0,343.0,4.0,7.0,2.0,3.0,2.0,21.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,1.0,58.0,4.0,11.0,2.0,4.0,2.0,24.0,2.0,7.0,1.0,1.0,0.0
2010.0,2013.0,2.0,0.0,4.0,10.0,2.0,4.0,3.0,10.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,2.0,10.0,2.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,1.0,16.0,4.0,11.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,1.0,273.0,4.0,11.0,1.0,3.0,0.0,23.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,2.0,0.0,2.0,11.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,4.0,353.0,2.0,11.0,2.0,1.0,3.0,0.0,2.0,7.0,11.0,1.0,0.0
2010.0,2013.0,2.0,555.0,2.0,7.0,2.0,3.0,4.0,17.0,5.0,2.0,23.0,1.0,0.0
2010.0,2013.0,1.0,0.0,4.0,7.0,2.0,4.0,3.0,25.0,0.0,0.0,0.0,0.0,1.0
